"title","author","genre","description","rating","publisher","release_date"
"The Great Gatsby","F. Scott Fitzgerald","Classic","The story primarily concerns the young and mysterious millionaire Jay Gatsby and his quixotic passion and obsession with the beautiful former debutante Daisy Buchanan.","4.2","Charles Scribner's Sons","April 10, 1925"
"To Kill a Mockingbird","Harper Lee","Classic","The story takes place during three years (1933–35) of the Great Depression in the fictional ""tired old town"" of Maycomb, Alabama, the seat of Maycomb County.","4.5","J. B. Lippincott & Co.","July 11, 1960"
"1984","George Orwell","Dystopian","The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda.","4.7","Secker and Warburg","June 8, 1949"
"The Catcher in the Rye","J. D. Salinger","Classic","The novel details two days in the life of 16-year-old Holden Caulfield after he has been expelled from prep school.","4.1","Little, Brown and Company","July 16, 1951"
"Harry Potter and the Philosopher's Stone","J. K. Rowling","Fantasy","The story follows Harry Potter, a young orphan boy who discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.","4.8","Bloomsbury","June 26, 1997"
"Pride and Prejudice","Jane Austen","Classic","The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.","4.6","T. Egerton, Whitehall","January 28, 1813"
"The Da Vinci Code","Dan Brown","Thriller","The story follows the investigation of the murder of Jacques Saunière, a curator at the Louvre Museum in Paris.","3.9","Doubleday","March 18, 2003"
"The Girl with the Dragon Tattoo","Stieg Larsson","Mystery","The book features many characters, but the protagonist is Mikael Blomkvist, an investigative journalist who has recently been convicted of libel.","4.3","Norstedts förlag","August 2005"
"The Hobbit","J. R. R. Tolkien","Fantasy","The book is set in a time ""Between the Dawn of Færie and the Dominion of Men, and follows the quest of home-loving hobbit Bilbo Baggins to win a share of the treasure guarded by the dragon, Smaug.","4.7","George Allen & Unwin","21 September 1937"
"The Chronicles of Narnia","C.S. Lewis","Fantasy","A series of seven books that chronicle the adventures of children who enter the magical world of Narnia.","4.5","Geoffrey Bles","1950-1956"
"The Hunger Games","Suzanne Collins","Dystopian fiction","In a dystopian future, the Capitol selects a boy and girl from the twelve districts to fight to the death on live television.","4.3","Scholastic","14 September 2008"
"Brave New World","Aldous Huxley","Dystopian fiction","A novel set in a futuristic society where people are genetically engineered and conditioned to live in a perfect, utopian society.","4.1","Chatto & Windus","1932"
"The Great Gatsby","F. Scott Fitzgerald","Classic fiction","A novel that explores the decadence and excess of the Jazz Age in America, as seen through the eyes of narrator Nick Carraway.","4.1","Charles Scribner's Sons","10 April 1925"
"Animal Farm","George Orwell","Political satire","A satirical novella that uses animals to portray the events leading up to the Russian Revolution and Stalinist era of the Soviet Union.","4.4","Secker & Warburg","17 August 1945"
"The Catcher in the Rye","J.D. Salinger","Coming-of-age fiction","A novel that follows the experiences of teenager Holden Caulfield as he navigates his way through adolescence and society.","4.0","Little, Brown and Company","16 July 1951"
"The Alchemist","Paulo Coelho","Fiction","A novel that tells the story of Santiago, an Andalusian shepherd boy who dreams of finding a treasure in the Egyptian pyramids.","4.2","HarperCollins","1988"
"The Picture of Dorian Gray","Oscar Wilde","Gothic Fiction","A novel about a young man named Dorian Gray who sells his soul to preserve his youth and beauty, but soon realizes the terrible price he must pay.","4.1","Ward, Lock and Company","June 20, 1890"
"The Girl with the Dragon Tattoo","Stieg Larsson","Crime Fiction","A crime novel that follows journalist Mikael Blomkvist and hacker Lisbeth Salander as they investigate a decades-old murder mystery.","4.2","Norstedts förlag","August 2005"
"The Sun Also Rises","Ernest Hemingway","Modernist Literature","A novel that follows a group of American and British expatriates as they travel from Paris to Pamplona to watch the running of the bulls and experience the excitement of the fiesta.","4.0","Scribner's","October 22, 1926"
"The Bell Jar","Sylvia Plath","Autobiographical Fiction","The story of Esther Greenwood, a college student who is battling mental illness in the 1950s. The novel is often regarded as a classic portrayal of depression.","4.0","Harper & Row","January 1963"
"Beloved","Toni Morrison","Historical Fiction","The story of Sethe, a former slave who is haunted by the memories of her past. Set in the mid-19th century, the novel explores themes of slavery, racism, and the enduring power of family.","4.2","Alfred A. Knopf","September 1987"
"The Road","Cormac McCarthy","Post-apocalyptic Fiction","The story of a man and his son as they travel through a post-apocalyptic world. The novel explores themes of survival, morality, and the relationship between a father and son.","4.0","Alfred A. Knopf","September 2006"
"The Handmaid's Tale","Margaret Atwood","Dystopian Fiction","Set in a totalitarian society called Gilead, the novel follows Offred, a woman who has been assigned as a handmaid to a high-ranking official. The novel explores themes of oppression, feminism, and the importance of individual freedom.","4.1","McClelland and Stewart","1985"
"The Lord of the Rings","J R Tolkien","Fantasy","LOTR","4.9","IDK","1953"
